_id,userId,formId,answers.age,answers.gender,answers.generalEducation,answers.musicalEducation,answers.feelings.radośnie,answers.feelings.smutno,answers.feelings.zmęczony/a,answers.feelings.pogodnie,answers.feelings.znudzony/a,answers.feelings.dobrze,answers.feelings.rozbawiony/a,answers.feelings.nieswojo,answers.feelings.zestresowany/a,answers.feelings.zlękniony/a,answers.feelings.niewyspany/a,answers.feelings.źle,answers.feelings.rozgniewany/a,answers.feelings.pobudzony/a,answers.feelings.ponuro,answers.feelings.spięty/a,answers.feelings.usatysfakcjonowany/a,answers.feelings.zniecierpliwiony/a,answers.feelings.spokojnie,answers.feelings.stremowany/a,answers.feelings.przygnębiony/a,answers.feelings.komfortowo,answers.feelings.poirytowany/a,answers.feelings.zrelaksowany/a,answers.concentrationLevel,answers.concertFrequency,answers.musicPreferences,answers.otherMusicPreference,answers.deviceImpact,createdAt,updatedAt
"ObjectId(""690344886ead945dafe42657"")","ObjectId(""690341936ead945dafe42653"")",concert-preexamination-form,20-25,kobieta,wyższe,student akademii muzycznej,trochę,trochę,tak,tak,trochę,tak,trochę,trochę,trochę,trochę,trochę,trochę,trochę,trochę,trochę,trochę,trochę,trochę,trochę,trochę,trochę,trochę,trochę,trochę,raczej wysoko,kilka razy w miesiącu,"[""muzyka klasyczna""]",,,1761821832418,1761821832418
"ObjectId(""6903454e6ead945dafe42669"")","ObjectId(""690344c86ead945dafe42662"")",concert-preexamination-form,15-19,kobieta,podstawowe,szkoła muzyczna I stopnia,tak,trochę,bardzo,trochę,tak,tak,tak,nie,wcale,wcale,bardzo,nie,nie,nie,nie,nie,nie,wcale,trochę,trochę,trochę,trochę,trochę,trochę,trudno powiedzieć,kilka razy w miesiącu,"[""muzyka jazzowa"",""muzyka popularna""]",,,1761822030725,1761822030725
